"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","STA_CBP_NAME"
"2-BFC001.11","JM66","AW, RB",14,"2011, 2012, 2013",3,"6 : AW","6 : AW","2 : RB",NA,NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Buffalo Cr @ rt 626","000002","AMBNT",37.51222222,-78.34472222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Buffalo Creek-Willis River","020802050204","Willis River-Buffalo Creek","JM-Q",NA
"2-BFL002.00","JA08","RB",2,"2014",1,NA,NA,NA,"2 : RB",NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","BUS. RT. 460 BRIDGE-PRINCE EDWARD CO/FAR","000002","AMBNT",37.30361111,-78.40666667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Locket Creek-Buffalo Creek","020802070103","Buffalo Creek-Locket Creek","JA-A",NA
"2-BFL009.69","JA08","RB",1,"2012",1,NA,"1 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"BIOMON","STREAM","SCRO","Blue Ridge","Buffalo Cr @ rt648","000002","AMBNT",37.27055555,-78.48083333,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Locket Creek-Buffalo Creek","020802070103","Buffalo Creek-Locket Creek","JA-A",NA
"2-BFL011.03","JA08","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","Rt. 658 Bridge","000002","AMBNT",37.2575,-78.48666667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Locket Creek-Buffalo Creek","020802070103","Buffalo Creek-Locket Creek","JA-A","02039000"
"2-BFL016.60","JA07","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Buffalo Creek @ rt 666","000002","AMBNT",37.20611111,-78.53694444,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Buffalo Creek-Buffalo Creek","020802070102","Buffalo Creek-Little Buffalo Creek","JA-A",NA
"2-BFL016.79","JA07","FP",1,"2012",1,NA,"1 : FP",NA,NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1",NA,NA,"APROB","STREAM","SCRO","Blue Ridge","Buffalo Ck. above Rt.686","000002","AMBNT",37.20416667,-78.53916667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Buffalo Creek-Buffalo Creek","020802070102","Buffalo Creek-Little Buffalo Creek","JA-A","VAEQ99-004"
"2-BGC000.58","JM58","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","BEAR GARDEN CREEK, RT 670 BRIDGE","000002","AMBNT",37.7025,-78.29361111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Bear Garden Creek-James River","020802031502","James River-Bear Garden Creek","JM-O",NA
"2-BGU005.67","JA18","AW, RB",16,"2011, 2012, 2013, 2016",4,"6 : AW","6 : AW","2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 4 | Total: 16","RB: 4 | Total: 4","RB: 2 | Total: 2","AWTSHD","STREAM","SCRO","Blue Ridge","Big Guinea Cr @ rt 639, Putney Rd","000002","AMBNT",37.42166667,-78.27027778,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Big Guinea Creek","020802070404","Big Guinea Creek","JA-D",NA
"2-BIO000.45","JM70","AW, RB",14,"2011, 2012, 2014",3,"6 : AW","6 : AW",NA,"2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Bigger Creek @ rt 615","000002","AMBNT",37.60972222,-78.2075,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Trice Lake-Willis River","020802050303","Willis River-Trice Lake","JM-R",NA
"2-BKL000.15","JU40","AW, QA",21,"2011, 2012, 2017",3,"4 : AW | 2 : QA","5 : AW | 1 : QA",NA,NA,NA,NA,"9 : AW",NA,"AW: 9 | Total: 9","AW: 9 | QA: 3 | Total: 12","AW: 9 | Total: 9","AW: 9 | Total: 9","AWTSHD","STREAM","WCRO","Blue Ridge","rT. 743 bRIDGE NEAR gALA","000002","AMBNT",37.68949167,-79.81748333,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Black Lick-James River","020802010904","James River-Black Lick","JU-I",NA
"2-BKW000.40","JM10","RB, AW, TM",17,"2011, 2015, 2018",3,"2 : RB",NA,NA,NA,"12 : AW | 1 : RB",NA,NA,"2 : TM","AW: 12 | RB: 1 | TM: 2 | Total: 15","RB: 3 | AW: 12 | Total: 15","AW: 12 | RB: 1 | TM: 2 | Total: 15","AW: 12 | RB: 1 | TM: 2 | Total: 15","SSTUDY","STREAM","SCRO","Blue Ridge","Blackwater Cr @ Rivermont Ave","000002","AMBNT",37.41944444,-79.14611111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Blackwater Creek","020802030304","Blackwater Creek","JM-C",NA
"2-BKW004.87","JM10","RB",3,"2011, 2015",2,"2 : RB",NA,NA,NA,"1 : RB",NA,NA,NA,"RB: 1 | Total: 1","RB: 3 | Total: 3","RB: 1 | Total: 1","RB: 1 | Total: 1","SSTUDY","STREAM","SCRO","Blue Ridge","Blackwater cr before Ivy Cr conf","000002","AMBNT",37.4175,-79.18444444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Blackwater Creek","020802030304","Blackwater Creek","JM-C",NA
"2-BKW005.95","JM10","TM",1,"2018",1,NA,NA,NA,NA,NA,NA,NA,"1 : TM","TM: 1 | Total: 1",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","AWTSHD","STREAM","SCRO","Blue Ridge","Blackwater Cr.@Hill St.(S of Langhorne)","170520","AMBNT",37.41166667,-79.18777778,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Blackwater Creek","020802030304","Blackwater Creek","JM-C",NA
"2-BLO001.85","JA30","TM, IM",30,"2011, 2012, 2013, 2014, 2015",5,"6 : TM","6 : TM","5 : IM | 1 : TM","6 : IM","6 : IM",NA,NA,NA,"IM: 6 | Total: 6","TM: 13 | IM: 17 | Total: 30","IM: 17 | TM: 1 | Total: 18","IM: 6 | Total: 6","AWTSHD","STREAM","PRO","Blue Ridge","BLAND CREEK, RT. 610 BRIDGE","07114","AMBNT",37.19361111,-77.95166667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Cellar Creek","020802070702","Cellar Creek","JA-G",NA
"2-BMT000.07","JM04","RB",4,"2015, 2016",2,NA,NA,NA,NA,"2 : RB","2 : RB",NA,NA,"RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 4 | Total: 4","SSTUDY","STREAM","SCRO","Blue Ridge","Brown Mt Cr @ rt 636","000002","AMBNT",37.69472222,-79.27638889,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Lynchburg Reservoir-Pedlar River","020802030201","Pedlar River-Lynchburg Reservoir","JM-B",NA
"2-BOW001.99","JA02","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA,"SSTUDY","STREAM","SCRO","Blue Ridge","Bowler Creek @ rt 620","000002","AMBNT",37.29083333,-78.69388889,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Suanee Creek-Appomattox River","020802070202","Appomattox River-Suanee Creek","JA-B",NA
"2-BRI001.00","JA10","TM, IM",30,"2013, 2014, 2015, 2016",4,NA,NA,"6 : TM","6 : TM","6 : IM","12 : IM",NA,NA,"IM: 18 | Total: 18","TM: 12 | IM: 18 | Total: 30","TM: 12 | IM: 18 | Total: 30","IM: 18 | Total: 18","AWTSHD","STREAM","SCRO","Blue Ridge","BRIERY CREEK, BUS  RT. 460 BRIDGE","000002","AMBNT",37.28055555,-78.36388889,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Briery Creek","020802070301","Briery Creek","JA-C",NA
"2-BRI010.78","JA10","RL",196,"2011, 2013, 2015",3,"74 : RL",NA,"69 : RL",NA,"53 : RL",NA,NA,NA,"RL: 53 | Total: 53","RL: 196 | Total: 196","RL: 122 | Total: 122","RL: 53 | Total: 53","AWTSHD","RESERV","SCRO","Blue Ridge","BRIERY CREEK LAKE STA.#1 AT DAM PRINCE E","000002","AMBNT",37.20166667,-78.44527778,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Briery Creek","020802070301","Briery Creek","JA-C",NA
"2-BRI013.12","JA10","RL",143,"2011, 2013, 2015",3,"49 : RL",NA,"43 : RL",NA,"51 : RL",NA,NA,NA,"RL: 51 | Total: 51","RL: 143 | Total: 143","RL: 94 | Total: 94","RL: 51 | Total: 51","AWTSHD","RESERV","SCRO","Blue Ridge","BRIERY CREEK LAKE UPPER END OF LAKE PRIN","000002","AMBNT",37.17805556,-78.46083333,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Briery Creek","020802070301","Briery Creek","JA-C",NA
"2-BRK001.00","JM68","AW, RB",14,"2011, 2012, 2014",3,"6 : AW","6 : AW",NA,"2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Bonbrook Cr @ Rt 624","000002","AMBNT",37.58961111,-78.24497222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-WILLIS","02080205","Middle James Willis","Bonbrook Creek-Willis River","020802050301","Willis River-Bonbrook Creek","JM-R",NA
"2-BSB000.20","JU36","RB",2,"2012",1,NA,"2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"BIOMON","STREAM","WCRO","Blue Ridge","Dnstr of Green Pasture Rd","000002","AMBNT",37.83333333,-79.66666667,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Simpson Creek-Cowpasture River","020802010803","Cowpasture River-Simpson Creek","JU-H",NA
"2-BSR002.82","JA13","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","BUSH RIVER, RT. 460 BRIDGE","000002","AMBNT",37.27833333,-78.35138889,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Millers Creek-Bush River","020802070304","Bush River-Millers Creek","JA-C",NA
"2-BSR012.33","JA11","FP",2,"2014",1,NA,NA,NA,"2 : FP",NA,NA,NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"APROB","STREAM","SCRO","Blue Ridge","Bush river northeast of Rte 715","000002","AMBNT",37.1725,-78.39427778,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Evans Creek-Bush River","020802070302","Bush River-Evans Creek","JA-C",NA
"2-BSR017.69","JA11","PA",12,"2014",1,NA,NA,NA,"12 : PA",NA,NA,NA,NA,NA,"PA: 12 | Total: 12","PA: 12 | Total: 12",NA,"SSTUDY","STREAM","SCRO","Blue Ridge","Bush R @ Rt 634","000002","AMBNT",37.1125,-78.43055556,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Evans Creek-Bush River","020802070302","Bush River-Evans Creek","JA-C",NA
"2-BTC000.16","JM18","AW",23,"2011, 2012, 2017, 2018",4,"6 : AW","6 : AW",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11","AWTSHD","STREAM","SCRO","Blue Ridge","OFF ROUTE 26, NEAR CONFLUENCE WITH JAMES","000002","AMBNT",37.53388889,-78.82916667,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Bent Creek","020802030406","Bent Creek","JM-D",NA
"2-BUF011.95","JM29","TM",13,"2011",1,"13 : TM",NA,NA,NA,NA,NA,NA,NA,NA,"TM: 13 | Total: 13",NA,NA,"TMDL","STREAM","SCRO","Blue Ridge","Rt 739 Bridge Boxwood Farm Road","10120","AMBNT",37.596,-79.005,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Stonewall Creek-Buffalo River","020802030602","Buffalo River-Stonewall Creek","JM-F",NA
"2-BUF013.53","JM29","AW",11,"2017, 2018",2,NA,NA,NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11",NA,"AW: 11 | Total: 11","AW: 11 | Total: 11","AWTSHD","STREAM","SCRO","Blue Ridge","RT. 29 BRIDGE","000002","AMBNT",37.60527778,-79.02611111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Stonewall Creek-Buffalo River","020802030602","Buffalo River-Stonewall Creek","JM-F",NA
"2-BUF026.43","JM28","TM, RB, AW",30,"2011, 2012, 2017, 2018",4,"18 : TM","1 : RB",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","TM: 18 | RB: 1 | Total: 19","AW: 11 | Total: 11","AW: 11 | Total: 11","BIOMON","STREAM","SCRO","Blue Ridge","Buffalo River @ Rt 60","10120","AMBNT",37.65833333,-79.145,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","North Fork Buffalo River-Buffalo River","020802030601","Buffalo River-North Fork Buffalo River","JM-F",NA
"2-BUF026.58","JM28","TM",12,"2011",1,"12 : TM",NA,NA,NA,NA,NA,NA,NA,NA,"TM: 12 | Total: 12",NA,NA,"TMDL","STREAM","SCRO","Blue Ridge","At Route 610","10120","AMBNT",37.656,-79.15,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","North Fork Buffalo River-Buffalo River","020802030601","Buffalo River-North Fork Buffalo River","JM-F",NA
"2-BUF030.41","JM28","TM, RB",13,"2011",1,"1 : RB | 12 : TM",NA,NA,NA,NA,NA,NA,NA,NA,"RB: 1 | TM: 12 | Total: 13",NA,NA,"TMDL","STREAM","SCRO","Blue Ridge","Rt. 60 Near Forks of the Buffalo","10120","AMBNT",37.679,-79.222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","North Fork Buffalo River-Buffalo River","020802030601","Buffalo River-North Fork Buffalo River","JM-F",NA
"2-BUN000.04","JM10","RB",3,"2011, 2015",2,"2 : RB",NA,NA,NA,"1 : RB",NA,NA,NA,"RB: 1 | Total: 1","RB: 3 | Total: 3","RB: 1 | Total: 1","RB: 1 | Total: 1","SSTUDY","STREAM","SCRO","Blue Ridge","Burton Cr-off rhonda rd near conf-tmahwk","000002","AMBNT",37.38527778,-79.21111111,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Blackwater Creek","020802030304","Blackwater Creek","JM-C",NA
"2-BYN001.90","JM53","FP",2,"2014",1,NA,NA,NA,"2 : FP",NA,NA,NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"APROB","STREAM","SCRO","Blue Ridge","Bryant Creek S of Shumaker Rd Off Hwy 60","000002","AMBNT",37.5415,-78.53069444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Horsepen Creek-Slate River","020802031303","Slate River-Horsepen Creek","JM-M",NA
"2-CAT000.34","JU53","QA, AW, SS",25,"2011, 2012, 2017, 2018",4,"4 : AW | 2 : QA","6 : AW",NA,NA,NA,NA,"12 : AW","1 : SS","AW: 12 | SS: 1 | Total: 13","AW: 10 | QA: 2 | Total: 12","AW: 12 | SS: 1 | Total: 13","AW: 12 | SS: 1 | Total: 13","AWTSHD","STREAM","WCRO","Blue Ridge","BRIDGE NEAR SALISBURY FURNACE-BOTETOURT","000002","AMBNT",37.60194445,-79.78666667,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Town Branch-Catawba Creek","020802011302","Catawba Creek-Town Branch","JU-M",NA
"2-CAT023.83","JU52","AW, PA",24,"2011, 2012, 2016",3,"6 : AW","6 : AW",NA,NA,NA,"12 : PA",NA,NA,"PA: 12 | Total: 12","AW: 12 | PA: 12 | Total: 24","PA: 12 | Total: 12","PA: 12 | Total: 12","AWTSHD","STREAM","WCRO","Blue Ridge","GAGE NEAR CATAWBA, ROUTE 779 BRIDGE","000002","AMBNT",37.46666667,-80.00555556,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Little Catawba Creek-Catawba Creek","020802011301","Catawba Creek-Little Catawba Creek","JU-M",NA
"2-CAT025.14","JU52","RB",5,"2011, 2012, 2013",3,"1 : RB","2 : RB","2 : RB",NA,NA,NA,NA,NA,NA,"RB: 5 | Total: 5","RB: 2 | Total: 2",NA,"BIOMON","STREAM","WCRO","Blue Ridge","Andy Lane Trail crossing off Rt. 729","000002","AMBNT",37.453425,-80.00801944,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Little Catawba Creek-Catawba Creek","020802011301","Catawba Creek-Little Catawba Creek","JU-M",NA
"2-CAT026.29","JU52","FP",3,"2016",1,NA,NA,NA,NA,NA,"3 : FP",NA,NA,"FP: 3 | Total: 3","FP: 3 | Total: 3","FP: 3 | Total: 3","FP: 3 | Total: 3","APROB","STREAM","WCRO","Blue Ridge","Downstr of Hogan Hollow",NA,"AMBNT",37.43588889,-80.01784167,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Little Catawba Creek-Catawba Creek","020802011301","Catawba Creek-Little Catawba Creek","JU-M","VA-1028"
"2-CAT027.64","JU52","TM, PA",21,"2015, 2016, 2017",3,NA,NA,NA,NA,"5 : TM","12 : PA | 2 : TM","2 : TM",NA,"TM: 9 | PA: 12 | Total: 21","TM: 7 | PA: 12 | Total: 19","TM: 9 | PA: 12 | Total: 21","TM: 9 | PA: 12 | Total: 21","SSTUDY","STREAM","WCRO","Blue Ridge","Hogan Hollow Rd. (Rt. 737)","000002","AMBNT",37.42594444,-80.02176944,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Little Catawba Creek-Catawba Creek","020802011301","Catawba Creek-Little Catawba Creek","JU-M",NA
"2-CAT034.61","JU52","RB",1,"2011",1,"1 : RB",NA,NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"SSTUDY","STREAM","WCRO","Blue Ridge","Catawba Sust. Center","000002","AMBNT",37.38333056,-80.09999722,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Little Catawba Creek-Catawba Creek","020802011301","Catawba Creek-Little Catawba Creek","JU-M",NA
"2-CBH000.29","JA04","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Cabin Branch @ Rt. 602","000002","AMBNT",37.3499,-78.6058,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Vaughans Creek","020802070204","Vaughans Creek","JA-B",NA
