"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_COMMENT","Latitude","Longitude","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","FDT_DATE_TIME2","Basin","Subbasin"
"2-CRG047.95","JU46",NA,12,"2018",1,NA,NA,NA,NA,NA,"11 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","Off Rt. 616 dnstr of New Castle","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.5112,-80.0876,"02080201","Upper James","Rolands Run Branch-Craig Creek","JU-L","020802011201","Craig Creek-Rolands Run Branch","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VARS11-232",2018-01-30 19:00:00,"James","Upper James"
"2-CRG053.15","JU43","AW",12,"2017",1,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","Rt 311 Bridge nearest New Castle","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.46555556,-80.10694445,"02080201","Upper James","Broad Run-Craig Creek","JU-J","020802011003","Craig Creek-Broad Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-01-18 15:50:00,"James","Upper James"
"2-CRG062.29","JU43","TM",11,"2015, 2016",2,NA,NA,"5 : TM","6 : TM",NA,NA,NA,"TM: 6 | Total: 6","TM: 11 | Total: 11","TM: 11 | Total: 11",NA,"RT. 621 BRIDGE","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.40777778,-80.1775,"02080201","Upper James","Broad Run-Craig Creek","JU-J","020802011003","Craig Creek-Broad Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2015-04-14 12:30:00,"James","Upper James"
"2-CRG074.47","JU41",NA,14,"2015, 2016, 2019",3,NA,NA,"6 : TM","6 : TM",NA,NA,"2 : RB","TM: 6 | RB: 2 | Total: 8","TM: 12 | Total: 12","TM: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2","USFS Recreation area along Rt 621","Blue Ridge","WCRO",0.3,"S",50,"000002","CONDUCTIVITY FAILED POST CHECK",37.33440278,-80.33118611,"02080201","Upper James","Trout Creek-Craig Creek","JU-J","020802011001","Craig Creek-Trout Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2015-01-06 14:35:00,"James","Upper James"
"2-CSR003.94","JU19","RB",2,"2014",1,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"Rt. 600 Crossing","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.72799167,-80.10519722,"02080201","Upper James","Cast Steel Run-Potts Creek","JU-D","020802010404","Potts Creek-Cast Steel Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VAEQ99-596",2014-05-22 17:00:00,"James","Upper James"
"2-CVA002.15","JU47","RB",4,"2015, 2016",2,NA,NA,"2 : RB","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 4 | Total: 4","RB: 4 | Total: 4",NA,"West of Nimrod Rd at trail crossing","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.580008,-80.131643,"02080201","Upper James","Barbours Creek","JU-L","020802011202","Barbours Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-04-01 16:40:00,"James","Upper James"
"2-CWP001.24","JU36","FP",1,"2019",1,NA,NA,NA,NA,NA,NA,"1 : FP","FP: 1 | Total: 1",NA,"FP: 1 | Total: 1","FP: 1 | Total: 1","2 Km below Rt. 633 Bridge","Blue Ridge",NA,0.3,"S",50,"000002",NA,37.798517,-79.775528,"02080201","Upper James","Simpson Creek-Cowpasture River","JU-H","020802010803","Cowpasture River-Simpson Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2019-08-27 10:30:00,"James","Upper James"
"2-CWP002.58","JU36","TR",34,"2014, 2015, 2016, 2017, 2018, 2019",6,NA,"6 : TR","5 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 29 | Total: 29","TR: 28 | Total: 28","TR: 17 | Total: 17","RT. 633 BRIDGE, E OF IRON GATE","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.79194444,-79.75944444,"02080201","Upper James","Simpson Creek-Cowpasture River","JU-H","020802010803","Cowpasture River-Simpson Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station","02016000",2014-02-05 15:15:00,"James","Upper James"
"2-DCK003.58","JU44","PA",23,"2013, 2015",2,"12 : PA",NA,"11 : PA",NA,NA,NA,NA,NA,"PA: 23 | Total: 23","PA: 11 | Total: 11",NA,"Rt. 658 Bridge","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.46008333,-80.35255556,"02080201","Upper James","Upper Johns Creek","JU-K","020802011101","Upper Johns Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2013-01-29 15:45:00,"James","Upper James"
"2-DCK003.94","JU44",NA,19,"2013, 2015, 2017, 2019",4,"2 : FP",NA,"2 : FP",NA,"2 : FP | 12 : PA",NA,"1 : FP","FP: 3 | PA: 12 | Total: 15","FP: 6 | PA: 12 | Total: 18","FP: 5 | PA: 12 | Total: 17","FP: 3 | PA: 12 | Total: 15","Off Rt. 658 north of Blue Healing Spring","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.46334445,-80.34827222,"02080201","Upper James","Upper Johns Creek","JU-K","020802011101","Upper Johns Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VAEQ99-481",2013-05-09 16:00:00,"James","Upper James"
"2-DNP001.98","JU15",NA,40,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TM","5 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 29 | TM: 6 | Total: 35","TR: 28 | Total: 28","TR: 17 | Total: 17","BRIDGE ABOVE BOYS HOME - ALLEGHANY COUNT","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.80333333,-80.02166667,"02080201","Upper James","Jerrys Run-Dunlap Creek","JU-C","020802010304","Dunlap Creek-Jerrys Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,2013-02-12 15:15:00,"James","Upper James"
"2-DNP018.47","JU13","AW",1,"2019",1,NA,NA,NA,NA,NA,NA,"1 : AW","AW: 1 | Total: 1",NA,"AW: 1 | Total: 1","AW: 1 | Total: 1","Rt. 159 Bridge north of Crows","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.73455278,-80.19107778,"02080201","Upper James","Cove Run-Dunlap Creek","JU-C","020802010302","Dunlap Creek-Cove Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2019-01-23 11:35:00,"James","Upper James"
"2-DNP024.01","JU13","AW",8,"2019",1,NA,NA,NA,NA,NA,NA,"8 : AW","AW: 8 | Total: 8",NA,"AW: 8 | Total: 8","AW: 8 | Total: 8","Rt. 311 Bridge","Blue Ridge",NA,0.3,"S",50,"000002",NA,37.689033,-80.223422,"02080201","Upper James","Cove Run-Dunlap Creek","JU-C","020802010302","Dunlap Creek-Cove Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2019-03-21 12:20:00,"James","Upper James"
"2-DVD000.23","JM19","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA,"DAVIDS CR., RT 605","Piedmont","SCRO",0.3,"S",50,"000002",NA,37.54944445,-78.82083333,"02080203","Middle James Buffalo","David Creek","JM-H","020802030801","David Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2016-01-12 22:20:00,"James","Middle James Buffalo"
"2-ELS000.08","JU55",NA,18,"2013, 2014, 2015",3,"6 : TM","6 : TM","6 : IM",NA,NA,NA,NA,NA,"TM: 12 | IM: 6 | Total: 18","IM: 6 | Total: 6",NA,"Rt. 640 Bridge Botetourt County","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.49138611,-79.73630556,"02080201","Upper James","Mill Creek-Looney Creek","JU-N","020802011403","Looney Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-02-12 18:50:00,"James","Upper James"
"2-FAS000.20","JU10","RB",3,"2014, 2015",2,NA,"2 : RB","1 : RB",NA,NA,NA,NA,NA,"RB: 3 | Total: 3","RB: 1 | Total: 1",NA,"ROUTE 687 BRIDGE - ALLEGHANY COUNTY","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.88777778,-79.97916667,"02080201","Upper James","Falling Spring Creek-Jackson River","JU-E","020802010502","Jackson River-Falling Spring Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-05-13 17:35:00,"James","Upper James"
"2-FAS001.08","JU10",NA,11,"2013, 2014, 2015, 2018",4,"2 : RB","2 : RB","1 : RB",NA,NA,"6 : TM",NA,"TM: 6 | Total: 6","RB: 5 | TM: 6 | Total: 11","RB: 1 | TM: 6 | Total: 7","TM: 6 | Total: 6","Rt. 640 Bridge Alleghany Co.","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.88400833,-79.96574722,"02080201","Upper James","Falling Spring Creek-Jackson River","JU-E","020802010502","Jackson River-Falling Spring Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-05-24 19:30:00,"James","Upper James"
